trajectory,sample,progress_percent,A1_deg,A2_deg,A3_deg,A4_deg,A5_deg,A6_deg,delta_A1_deg,delta_A2_deg,delta_A3_deg,delta_A4_deg,delta_A5_deg,delta_A6_deg,delta_norm_deg
16:41 P5 aux,43,65.15151515151516,-12.820094133624545,-65.9290092767551,95.98696699205381,-0.1186854815290209,60.203314798329934,-12.793440483116548,0.9543679499276809,1.8248029606428418,0.4386271452103614,0.020079165924352632,2.234987353710899,0.9706870538317887,3.2203917156401856
16:41 P5 aux,44,66.66666666666667,-13.52980183729796,-64.57200989412452,96.31314838154793,-0.13361718448586218,58.54128523974985,-13.515283751232031,0.7097077036734145,1.3569993826305762,0.3261813894941241,0.014931702956841278,1.6620295585800875,0.7218432681154834,2.394817229150531
16:41 P5 aux,45,68.18181818181819,-13.994849294717108,-63.682814089506216,96.52688401532582,-0.14340142447519227,57.45221347630057,-13.98828323363121,0.4650474574191481,0.8891958046183035,0.21373563377788685,0.00978423998933009,1.089071763449276,0.4729994823991781,1.5692427426608722
16:41 P5 aux,46,69.6969696969697,-14.215236505881988,-63.26142186290015,96.62817389338747,-0.14803820149701105,56.936099507982114,-14.212438930314079,0.22038721116487991,0.42139222660606634,0.10128987806164957,0.004636777021818778,0.5161139683184572,0.22415569668286928,0.743668256171227
16:41 P5 aux,47,71.21212121212122,-14.234886597512425,-63.22384982856387,96.63720506799432,-0.1484516242762506,56.8900819250398,-14.232425026403872,0.01965009163043696,0.03757203433627865,0.009031174606846548,0.0004134227792395584,0.046017582942312174,0.019986096089793293,0.0663067030939395
16:41 P5 aux,48,72.72727272727273,-14.234886597512425,-63.22384982856387,96.63720506799432,-0.1484516242762506,56.8900819250398,-14.232425026403872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:41 P5 aux,49,74.24242424242425,-14.23732682473067,-63.06150743663069,96.7502431638546,-0.14393479456299954,56.60360302747439,-14.234351913065368,0.002440227218245994,0.1623423919331799,0.1130380958602899,0.004516829713251069,0.28647889756540934,0.0019268866614954305,0.34818513959722636
16:41 P5 aux,50,75.75757575757575,-14.244647506385412,-62.57448026083119,97.08935745143542,-0.1303843054232464,55.74416633477815,-14.240132573049857,0.007320681654741534,0.48702717579950416,0.33911428758081286,0.013550489139753152,0.8594366926962422,0.005780659984489844,1.044555418791656
16:41 P5 aux,51,77.27272727272727,-14.256848642476646,-61.762768301165316,97.65454793073681,-0.10780015685699104,54.31177184695109,-14.249767006357336,0.012201136091233522,0.8117119596658711,0.5651904793013927,0.022584148566255347,1.432394487827061,0.009634433307478929,1.7409256979861119
16:41 P5 aux,52,78.78787878787878,-14.273930233004377,-60.626371557633114,98.44581460175876,-0.07618234886423361,52.306419563993195,-14.263255212987811,0.01708159052773084,1.1363967435322024,0.791266671021944,0.03161780799275743,2.005352282957894,0.01348820663047512,2.437295977180554
16:41 P5 aux,53,80.3030303030303,-14.292470283334024,-59.392947024634715,99.30464117772101,-0.04186495022695495,50.12984635821604,-14.277895069234201,0.018540050329647784,1.2334245329983986,0.8588265759622544,0.03431739863727866,2.176573205777153,0.014639856246390082,2.645397102325995
16:41 P5 aux,54,81.81818181818181,-14.30625898412373,-58.475618240203026,99.94337205900965,-0.016342239485775848,48.5110742325892,-14.288783097788416,0.013788700789705288,0.9173287844316889,0.6387308812886374,0.025522710741179105,1.6187721256268404,0.010888028554214557,1.967448225078353
