trajectory,sample,progress_percent,A1_deg,A2_deg,A3_deg,A4_deg,A5_deg,A6_deg,delta_A1_deg,delta_A2_deg,delta_A3_deg,delta_A4_deg,delta_A5_deg,delta_A6_deg,delta_norm_deg
BASELINE sin afinar,31,7.142857142857143,-0.0015671170010376832,-90.0009014750176,89.99851991096071,174.31694624954616,-87.20610109552871,-174.30693979377347,2.5486547235424855e-05,1.4660989336334751e-05,2.407118240910222e-05,2.8350550304492117,1.4181982634339647,2.834812000036578,4.252644167700586
BASELINE sin afinar,32,7.373271889400922,-0.001587452778445831,-90.00091317305626,89.9985007045063,176.57904348486446,-88.33768490479919,-176.5688431145403,2.0335777408147853e-05,1.1698038662188992e-05,1.9206454410891638e-05,2.2620972353182935,1.1315838092704809,2.2619033207668338,3.393195021340958
BASELINE sin afinar,33,7.6036866359447,-0.0016026377860267023,-90.00092190814432,89.99848636277989,178.268182925052,-89.18265425990626,-178.25783775603762,1.5185007580871285e-05,8.735088059097507e-06,1.4341726412681055e-05,1.689139440187546,0.844969355107068,1.6889946414973167,2.5337458749816193
BASELINE sin afinar,34,7.8341013824884795,-0.0016126720237802973,-90.0009276802817,89.99847688578149,179.38436457010872,-89.74100916084994,-179.37392371826533,1.0034237753594934e-05,5.772137384951748e-06,9.476998400259617e-06,1.116181645056713,0.5583549009436837,1.1160859622277144,1.6742967286221762
BASELINE sin afinar,35,8.064516129032258,-0.0016175554917066154,-90.00093048946847,89.99847227351108,179.92758842003462,-90.01274960763017,-179.9171010012234,4.88346792631815e-06,2.8091867676494076e-06,4.612270402049035e-06,0.5432238499259086,0.27174044678022824,0.5431772829580552,0.8148475822626905
BASELINE sin afinar,36,8.294930875576037,-0.0016180726228706998,-90.00093078694519,89.99847178509818,179.98511270116208,-90.0415253579151,-179.9746203511768,5.171311640843768e-07,2.974767170371706e-07,4.884129083393418e-07,0.057524281127456334,0.028775750284935953,0.05751934995342367,0.08628767202416869
BASELINE sin afinar,37,8.525345622119815,-0.0016180726228706998,-90.00093078694519,89.99847178509818,179.98511270116208,-90.0415253579151,-179.9746203511768,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASELINE sin afinar,38,8.755760368663594,-0.024164787788724586,-89.95861449205808,90.00918135483774,179.6986338035967,-89.8080535584769,-179.71080988207103,0.022546715165853885,0.04231629488711519,0.01070956973956072,0.286478897565388,0.23347179943820606,0.26381046910577766,0.45671536163649495
BASELINE sin afinar,39,8.986175115207374,-0.09180493328628624,-89.83166560739676,90.04131006405643,178.83919711090047,-89.10763816016232,-178.9193784747537,0.06764014549756164,0.12694888466131715,0.03212870921869637,0.8594366926962209,0.7004153983145756,0.791431407317333,1.3701460849094966
BASELINE sin afinar,40,9.216589861751151,-0.2045385091155558,-89.6200841329612,90.09485791275425,177.4068026230734,-87.94027916297135,-177.60032612922478,0.11273357582926956,0.21158147443556174,0.05354784869781781,1.4323944878270822,1.1673589971909735,1.3190523455289167,2.2835768081825503
