condition,sample,progress_percent,A1_deg,A2_deg,A3_deg,A4_deg,A5_deg,A6_deg,delta_A1_deg,delta_A2_deg,delta_A3_deg,delta_A4_deg,delta_A5_deg,delta_A6_deg,delta_norm_deg
KRL,62,7.7210460772104605,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,63,7.845579078455791,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,64,7.970112079701121,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,65,8.094645080946451,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,66,8.219178082191782,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,67,8.34371108343711,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,68,8.468244084682441,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,69,8.592777085927771,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,70,8.7173100871731,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,71,8.84184308841843,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,72,8.966376089663761,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,73,9.090909090909092,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,74,9.21544209215442,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,75,9.339975093399751,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,76,9.464508094645081,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,77,9.58904109589041,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,78,9.71357409713574,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,79,9.838107098381071,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,80,9.962640099626402,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,81,10.08717310087173,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,82,10.211706102117061,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,83,10.336239103362391,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,84,10.46077210460772,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,85,10.58530510585305,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,86,10.709838107098381,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,87,10.834371108343712,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,88,10.95890410958904,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,89,11.083437110834371,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,90,11.207970112079702,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,91,11.332503113325032,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,92,11.45703611457036,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,93,11.581569115815691,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,94,11.706102117061022,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,95,11.83063511830635,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,96,11.955168119551681,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,97,12.079701120797012,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,98,12.204234122042342,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,99,12.32876712328767,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,100,12.453300124533001,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,101,12.577833125778332,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,102,12.70236612702366,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,103,12.826899128268991,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,104,12.951432129514322,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,105,13.075965130759652,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,106,13.20049813200498,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,107,13.325031133250311,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,108,13.449564134495642,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,109,13.57409713574097,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,110,13.698630136986301,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,111,13.823163138231632,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,112,13.947696139476962,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,113,14.07222914072229,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,114,14.196762141967621,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,115,14.321295143212952,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,116,14.44582814445828,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,117,14.570361145703611,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,118,14.694894146948942,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,119,14.819427148194272,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,120,14.9439601494396,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,121,15.068493150684931,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,122,15.193026151930262,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,123,15.317559153175592,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,124,15.442092154420921,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,125,15.566625155666252,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,126,15.691158156911582,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,127,15.81569115815691,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,128,15.940224159402241,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,129,16.06475716064757,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,130,16.189290161892902,0.0,-90.0,90.0,-0.004939,0.111982,2e-05,0.0,0.0,0.0,1.0000000000001327e-06,0.115898,1.9e-05,0.11589800156171806
KRL,131,16.31382316313823,-1.7e-05,-90.0,90.000015,-0.00495,2.240604,0.000307,1.7e-05,0.0,1.5000000004761205e-05,1.1000000000000593e-05,2.128622,0.000287,2.1286220194971204
KRL,132,16.438356164383563,-3e-05,-90.000008,90.000023,-0.004957,3.65662,0.000495,1.3000000000000001e-05,7.999999994012796e-06,7.999999994012796e-06,6.999999999999194e-06,1.4160160000000004,0.00018800000000000002,1.4160160126022592
KRL,133,16.562889165628892,-4.2e-05,-90.000008,90.000038,-0.004965,5.173779,0.000697,1.1999999999999997e-05,0.0,1.5000000004761205e-05,8.000000000000194e-06,1.5171589999999995,0.00020200000000000003,1.5171590135902033
KRL,134,16.68742216687422,-5.5e-05,-90.000008,90.000046,-0.004973,6.640365,0.000893,1.3000000000000004e-05,0.0,7.999999994012796e-06,8.000000000000194e-06,1.4665860000000004,0.000196,1.46658601319834
KRL,135,16.811955168119553,-7.4e-05,-90.000015,90.000061,-0.004985,8.966674,0.001202,1.8999999999999994e-05,7.000000010748408e-06,1.5000000004761205e-05,1.1999999999999858e-05,2.3263089999999993,0.0003089999999999999,2.326309020689426
KRL,136,16.936488169364882,-8.7e-05,-90.000015,90.000076,-0.004993,10.43326,0.001398,1.3000000000000004e-05,0.0,1.5000000004761205e-05,8.000000000000194e-06,1.4665860000000013,0.000196,1.4665860132532302
KRL,137,17.06102117061021,-0.0001,-90.000015,90.000084,-0.005001,11.950418,0.0016,1.3000000000000004e-05,0.0,7.999999994012796e-06,8.000000000000194e-06,1.5171580000000002,0.00020200000000000014,1.5171580135453924
KRL,138,17.185554171855543,-0.000113,-90.000023,90.000099,-0.005008,13.417004,0.001795,1.299999999999999e-05,7.999999994012796e-06,1.5000000004761205e-05,7.000000000000062e-06,1.4665859999999995,0.00019499999999999986,1.466586013136631
KRL,139,17.31008717310087,-0.000132,-90.000023,90.000114,-0.00502,15.69274,0.002105,1.9000000000000015e-05,0.0,1.499999999055035e-05,1.1999999999999858e-05,2.275736,0.00031000000000000016,2.275736021274436
KRL,140,17.4346201743462,-0.000145,-90.000023,90.000122,-0.005028,17.159327,0.002293,1.299999999999999e-05,0.0,8.000000008223651e-06,8.000000000000194e-06,1.4665870000000005,0.0001879999999999998,1.4665870121510016
KRL,141,17.559153175591533,-0.000157,-90.000031,90.000137,-0.005035,18.57534,0.002482,1.1999999999999994e-05,8.000000008223651e-06,1.499999999055035e-05,7.000000000000062e-06,1.4160129999999995,0.00018899999999999993,1.4160130127834274
